CLAIM_STATUS,PREMIUM_AMOUNT,CLAIM_AMOUNT,AGE,TENURE,NO_OF_FAMILY_MEMBERS,INCIDENT_HOUR_OF_THE_DAY,CLAIM_TO_PREMIUM_RATIO,REPORT_DELAY_DAYS,POLICY_DURATION_DAYS,INSURANCE_TYPE,MARITAL_STATUS,EMPLOYMENT_STATUS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE
0,96.33,2000,51,54,5,21,20.761964081802137,5,1998,Travel,Y,Y,M,Rent,LI,Bachelor,Minor Loss,Ambulance,1,1,CT
0,9.58,600,60,84,2,5,62.63048016701461,5,3331,Mobile,N,Y,M,Rent,HI,Masters,Major Loss,Other,0,0,DC
0,134.55,6000,57,51,5,0,44.59308807134894,5,339,Motor,Y,Y,L,Mortgage,HI,High School,Major Loss,Ambulance,1,1,AK
0,107.72,3000,62,27,4,12,27.84998143334571,5,1117,Motor,N,N,L,Own,HI,Masters,Total Loss,Police,0,1,OK
1,189.17,10000,47,11,2,17,52.86250462546916,5,696,Health,Y,Y,L,Rent,HI,High School,Total Loss,Police,0,0,CO
0,61.14,3000,32,63,2,8,49.06771344455348,5,2378,Travel,N,Y,M,Rent,LI,Bachelor,Major Loss,Ambulance,0,0,CT
0,8.41,100,33,72,7,20,11.890606420927467,5,2742,Mobile,Y,Y,L,Mortgage,MI,Masters,Major Loss,Ambulance,1,1,VT
0,82.01,100000,49,56,2,23,1219.3634922570418,3,155,Life,Y,Y,M,Own,LI,Bachelor,Total Loss,Ambulance,0,0,AR
0,116.87,21000,57,60,7,5,179.68683152220416,5,1625,Property,Y,Y,L,Own,HI,College,Major Loss,Police,1,0,CT
0,6.19,700,26,43,7,7,113.08562197092083,1,2051,Mobile,Y,Y,L,Mortgage,MI,High School,Minor Loss,Ambulance,1,1,MD
0,95.96,4000,45,32,5,18,41.68403501458941,2,1703,Travel,Y,Y,L,Mortgage,LI,,Minor Loss,Other,0,0,GA
1,56.22,97000,37,51,5,12,1725.3646389185344,5,2255,Life,Y,Y,M,Rent,LI,MD,Major Loss,Police,0,1,FL
0,10.22,700,42,107,2,14,68.4931506849315,5,1458,Mobile,N,Y,M,Mortgage,HI,High School,Major Loss,Police,1,0,CA
1,139.5,15000,54,40,3,18,107.52688172043011,1,757,Property,N,Y,M,Mortgage,MI,PhD,Minor Loss,Ambulance,1,1,CO
0,59.16,4000,29,36,4,13,67.6132521974307,5,1015,Travel,Y,Y,M,Mortgage,MI,High School,Major Loss,Police,0,1,GA
0,74.25,86000,25,54,6,17,1158.2491582491582,0,3247,Life,Y,Y,L,Own,LI,High School,Minor Loss,,1,1,CA
0,51.12,36000,56,46,7,5,704.2253521126761,5,1377,Life,N,Y,H,Mortgage,HI,Bachelor,Total Loss,,1,0,OK
0,52.71,43000,57,35,3,5,815.7844811231265,5,2612,Life,Y,Y,M,Rent,LI,Bachelor,Total Loss,Police,1,1,AK
0,111.08,5000,41,119,6,23,45.012603528988116,3,1290,Motor,Y,Y,L,Mortgage,LI,Bachelor,Minor Loss,Other,0,0,GA
0,120.86,39000,64,97,6,10,322.68740691709417,5,2674,Property,Y,Y,L,Own,HI,College,Minor Loss,,1,1,AK
0,53.86,92000,35,50,6,18,1708.1321945785369,5,1847,Life,Y,Y,L,Own,MI,Bachelor,Major Loss,Police,0,1,TN
0,10.39,300,31,106,4,18,28.873917228103945,5,2341,Mobile,Y,Y,H,Rent,HI,Bachelor,Total Loss,,0,1,CT
0,91.56,5000,30,41,7,9,54.608999563128,5,3202,Motor,Y,Y,L,Rent,MI,PhD,Minor Loss,,1,1,FL
0,140.85,13000,41,52,5,8,92.29676961306355,5,467,Property,Y,Y,L,Own,LI,Bachelor,Total Loss,Ambulance,1,1,CO
0,64.31,4000,28,16,7,8,62.198724926139015,0,3583,Travel,Y,Y,M,Rent,LI,Masters,Major Loss,Other,1,1,AL
0,68.83,5000,28,12,3,22,72.6427429899753,3,3350,Travel,N,Y,M,Own,LI,Bachelor,Total Loss,Ambulance,0,1,VT
0,59.33,3000,62,51,5,12,50.56463846283499,5,259,Travel,N,Y,H,Rent,HI,High School,Total Loss,Ambulance,0,1,FL
0,129.58,4000,39,93,2,5,30.868961259453616,1,2489,Motor,Y,Y,L,Mortgage,MI,High School,Minor Loss,Police,1,1,VT
0,11.46,100,26,55,5,23,8.726003490401396,2,3306,Mobile,Y,N,H,Own,LI,Bachelor,Minor Loss,Other,0,1,AR
0,6.75,200,54,14,5,4,29.62962962962963,1,182,Mobile,Y,Y,L,Rent,MI,High School,Minor Loss,,1,1,DC
0,121.26,3000,39,96,5,7,24.740227610094013,1,696,Health,Y,Y,M,Rent,MI,High School,Total Loss,Ambulance,1,1,MA
0,188.54,17000,31,67,2,10,90.1665429086666,5,158,Health,N,Y,L,Mortgage,LI,Bachelor,Minor Loss,Police,1,0,GA
0,105.82,31000,60,63,3,2,292.950292950293,1,2953,Property,Y,Y,M,Mortgage,HI,College,Major Loss,,1,1,KY
0,7.6,100,44,22,3,18,13.157894736842106,5,1915,Mobile,Y,Y,M,Mortgage,MI,,Minor Loss,Ambulance,0,1,DC
0,6.08,200,55,88,5,10,32.89473684210526,2,1085,Mobile,N,Y,L,Own,HI,High School,Major Loss,,1,0,MD
0,147.74,11000,42,68,6,0,74.45512386625151,1,1457,Property,Y,Y,L,Mortgage,MI,High School,Minor Loss,Police,0,1,GA
0,6.91,100,62,101,3,16,14.47178002894356,3,240,Mobile,Y,Y,M,Own,MI,Bachelor,Minor Loss,,1,0,TN
0,70.03,39000,64,28,7,6,556.9041839211766,5,978,Life,Y,Y,M,Mortgage,MI,High School,Total Loss,Police,1,0,TN
0,129.39,29000,43,86,5,21,224.12860344694337,5,2473,Property,N,Y,L,Own,LI,Bachelor,Minor Loss,Other,1,1,KY
0,56.73,5000,34,59,4,11,88.13678829543451,5,2007,Travel,N,Y,M,Own,LI,College,Total Loss,Ambulance,1,0,KY
0,67.5,34000,54,104,3,17,503.7037037037037,5,1328,Life,Y,Y,M,Rent,MI,High School,Total Loss,Ambulance,1,1,VT
0,91.55,28000,41,101,7,19,305.84380120152923,5,699,Property,N,Y,M,Mortgage,HI,Bachelor,Major Loss,Police,0,1,MD
0,135.82,16000,32,9,7,10,117.80297452510676,5,3151,Health,Y,Y,M,Own,LI,Bachelor,Major Loss,,1,1,VT
0,7.21,500,47,78,5,3,69.34812760055479,5,211,Mobile,Y,Y,M,Own,MI,High School,Minor Loss,Police,1,1,CO
0,6.79,300,26,68,2,5,44.18262150220913,3,2575,Mobile,Y,Y,L,Mortgage,MI,,Total Loss,Police,0,0,CA
0,80.73,4000,49,9,4,16,49.54787563483215,0,2751,Motor,Y,Y,L,Mortgage,LI,Bachelor,Minor Loss,Police,0,1,MA
0,124.56,8000,27,93,4,16,64.22607578676943,5,2938,Health,Y,Y,M,Rent,LI,PhD,Total Loss,Ambulance,1,1,CO
0,117.59,34000,42,38,7,8,289.1402330130113,5,509,Property,Y,Y,L,Mortgage,MI,Bachelor,Major Loss,Police,1,1,AR
0,124.28,33000,28,91,4,22,265.52944962986805,0,3623,Property,Y,Y,M,Rent,LI,High School,Total Loss,Ambulance,1,0,CT
0,123.41,24000,35,25,5,20,194.47370553439754,5,1170,Property,Y,Y,L,Mortgage,HI,Masters,Total Loss,Ambulance,0,1,FL
0,121.92,20000,60,29,6,9,164.04199475065616,1,2521,Health,Y,Y,L,Rent,HI,High School,Total Loss,,1,1,AL
0,55.99,90000,31,112,6,22,1607.4298981961065,5,3092,Life,Y,Y,L,Own,HI,Bachelor,Major Loss,,1,1,MA
1,187.72,1000,54,85,7,19,5.327082889409759,5,3183,Health,Y,Y,H,Own,MI,Bachelor,Minor Loss,,1,0,MD
0,146.79,32000,26,90,6,6,217.99850126030384,1,1090,Property,Y,Y,L,Rent,MI,,Total Loss,Ambulance,1,1,GA
0,120.07,33000,61,68,3,14,274.83967685516785,5,2647,Property,Y,Y,L,Rent,HI,Bachelor,Major Loss,Ambulance,0,1,AL
0,129.97,15000,64,20,3,13,115.41124874971148,5,2529,Property,N,Y,H,Mortgage,MI,Bachelor,Total Loss,Police,1,1,AR
0,110.4,1000,35,88,5,6,9.057971014492754,5,1613,Motor,N,Y,L,Own,HI,Bachelor,Minor Loss,Ambulance,0,1,MA
0,6.76,300,62,65,7,10,44.37869822485207,3,2163,Mobile,N,Y,M,Own,LI,High School,Major Loss,,1,0,MD
0,9.49,700,60,114,4,18,73.76185458377239,1,907,Mobile,N,Y,H,Mortgage,LI,,Total Loss,Other,0,0,TN
0,11.87,400,49,107,3,18,33.69839932603202,2,2660,Mobile,Y,Y,L,Mortgage,MI,Bachelor,Total Loss,,0,1,KY
0,109.65,17000,31,112,2,22,155.03875968992247,5,2339,Property,Y,Y,L,Rent,LI,High School,Minor Loss,,1,1,AZ
0,164.79,8000,36,100,5,13,48.546635111353844,0,387,Health,Y,Y,M,Mortgage,MI,Masters,Minor Loss,Police,1,0,AL
0,133.52,13000,62,52,3,1,97.36369083283402,5,170,Property,Y,Y,M,Mortgage,MI,Bachelor,Major Loss,,0,1,TN
0,9.69,300,40,36,4,0,30.959752321981426,3,3593,Mobile,Y,Y,L,Rent,HI,Bachelor,Minor Loss,Ambulance,1,1,CO
0,11.11,100,51,22,2,18,9.000900090009,0,3054,Mobile,Y,Y,L,Rent,LI,Masters,Minor Loss,Ambulance,0,1,FL
0,89.74,99000,50,67,7,2,1103.186984622242,5,2972,Life,Y,Y,M,Mortgage,MI,Bachelor,Total Loss,Ambulance,1,1,MD
0,79.9,5000,30,93,6,15,62.578222778473084,2,2482,Travel,Y,Y,L,Mortgage,LI,Bachelor,Minor Loss,Other,0,1,KY
0,140.37,5000,52,87,4,3,35.620146755004626,0,2703,Health,N,Y,H,Own,MI,College,Minor Loss,Police,1,0,CO
0,79.18,2000,44,94,4,7,25.258903763576658,5,407,Travel,Y,Y,M,Mortgage,HI,High School,Major Loss,Ambulance,1,1,AZ
0,85.43,4000,58,75,5,10,46.82195949900503,0,2449,Travel,N,Y,H,Own,HI,Bachelor,Total Loss,Other,1,0,TN
0,112.42,4000,33,14,4,1,35.580857498665715,0,496,Motor,Y,Y,M,Rent,LI,,Total Loss,,0,1,FL
1,10.57,300,45,76,2,6,28.38221381267739,5,1742,Mobile,Y,N,M,Own,LI,Bachelor,Total Loss,Other,1,1,AZ
0,6.37,300,60,15,2,16,47.09576138147567,1,163,Mobile,Y,N,H,Mortgage,HI,,Total Loss,Ambulance,0,0,DC
0,61.5,38000,27,114,4,12,617.8861788617886,3,1367,Life,Y,Y,M,Mortgage,MI,High School,Total Loss,Other,1,1,TN
0,10.6,400,27,79,4,22,37.735849056603776,0,1680,Mobile,Y,Y,L,Rent,LI,College,Minor Loss,Ambulance,1,1,VT
0,183.13,12000,60,43,6,20,65.5272210997652,2,1727,Health,N,Y,L,Mortgage,MI,Bachelor,Total Loss,Ambulance,0,0,MA
0,111.63,17000,60,52,3,6,152.2888112514557,5,1453,Property,Y,Y,M,Rent,MI,Bachelor,Major Loss,Ambulance,0,1,KY
1,115.92,15000,52,28,6,21,129.39958592132504,5,2198,Property,N,Y,L,Mortgage,HI,Bachelor,Total Loss,Ambulance,1,0,KY
0,98.83,10000,31,10,4,5,101.18385105737124,5,1256,Property,N,Y,L,Mortgage,HI,Bachelor,Total Loss,Ambulance,1,1,FL
0,10.52,700,55,19,3,15,66.53992395437263,0,303,Mobile,Y,Y,L,Own,MI,College,Major Loss,Ambulance,1,0,MA
0,149.71,30000,47,84,4,7,200.3874156702959,1,144,Property,Y,Y,M,Mortgage,MI,Bachelor,Total Loss,Other,0,0,CO
0,7.79,500,33,43,6,14,64.18485237483954,5,2382,Mobile,Y,Y,L,Rent,LI,MD,Total Loss,Police,1,1,CA
0,141.85,29000,43,89,3,16,204.44131124427213,2,2603,Property,Y,Y,L,Rent,MI,High School,Minor Loss,Ambulance,1,1,VT
